age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,10184,13/06/2020,6.8,0,0,22.5
18-49,80348,13/06/2020,54,304,6.1,43.5
50-64,33357,13/06/2020,22.4,792,16,18.4
65+,24762,13/06/2020,16.6,3864,77.9,15.6
Missing,204,13/06/2020,0.1,1,0,0
0-17,10702,15/06/2020,7,0,0,22.5
18-49,83254,15/06/2020,54.2,308,6.2,43.5
50-64,34290,15/06/2020,22.3,801,16,18.4
65+,25109,15/06/2020,16.4,3892,77.8,15.6
Missing,205,15/06/2020,0.1,1,0,0
0-17,11582,17/06/2020,7.2,0,0,22.5
18-49,87796,17/06/2020,54.5,317,6.2,43.5
50-64,35609,17/06/2020,22.1,825,16,18.4
65+,25911,17/06/2020,16.1,3999,77.8,15.6
Missing,201,17/06/2020,0.1,1,0,0
0-17,12063,18/06/2020,7.3,0,0,22.5
18-49,90278,18/06/2020,54.6,320,6.1,43.5
50-64,36485,18/06/2020,22.1,841,16,18.4
65+,26385,18/06/2020,16,4088,77.9,15.6
Missing,205,18/06/2020,0.1,1,0,0
0-17,12441,19/06/2020,7.3,0,0,22.5
18-49,92703,19/06/2020,54.8,322,6.1,43.5
50-64,37213,19/06/2020,22,851,16,18.4
65+,26741,19/06/2020,15.8,4144,77.9,15.6
Missing,211,19/06/2020,0.1,1,0,0
0-17,12897,20/06/2020,7.4,0,0,22.5
18-49,95513,20/06/2020,54.9,326,6,43.5
50-64,38046,20/06/2020,21.9,868,16.1,18.4
65+,27173,20/06/2020,15.6,4207,77.9,15.6
Missing,195,20/06/2020,0.1,1,0,0
0-17,13346,21/06/2020,7.5,0,0,22.5
18-49,98269,21/06/2020,55.2,327,6,43.5
50-64,38795,21/06/2020,21.8,875,16.1,18.4
65+,27456,21/06/2020,15.4,4222,77.8,15.6
Missing,188,21/06/2020,0.1,1,0,0
0-17,13867,22/06/2020,7.6,0,0,22.5
18-49,101474,22/06/2020,55.4,328,6,43.5
50-64,39667,22/06/2020,21.7,880,16.2,18.4
65+,27864,22/06/2020,15.2,4236,77.8,15.6
Missing,201,22/06/2020,0.1,1,0,0
0-17,14524,23/06/2020,7.6,0,0,22.5
18-49,106053,23/06/2020,55.8,332,6,43.5
50-64,40923,23/06/2020,21.5,889,16.2,18.4
65+,28528,23/06/2020,15,4277,77.8,15.6
Missing,194,23/06/2020,0.1,1,0,0
0-17,14968,24/06/2020,7.7,0,0,22.5
18-49,109489,24/06/2020,56,336,6,43.5
50-64,41870,24/06/2020,21.4,909,16.2,18.4
65+,29048,24/06/2020,14.9,4357,77.8,15.6
Missing,196,24/06/2020,0.1,1,0,0
0-17,15449,25/06/2020,7.7,0,0,22.5
18-49,112547,25/06/2020,56.1,344,6,43.5
50-64,42721,25/06/2020,21.3,932,16.3,18.4
65+,29544,25/06/2020,14.7,4440,77.7,15.6
Missing,200,25/06/2020,0.1,1,0,0
0-17,16093,26/06/2020,7.8,0,0,22.5
18-49,116389,26/06/2020,56.4,347,6,43.5
50-64,43730,26/06/2020,21.2,944,16.3,18.4
65+,30007,26/06/2020,14.5,4494,77.7,15.6
Missing,214,26/06/2020,0.1,1,0,0
0-17,16546,27/06/2020,7.9,0,0,22.5
18-49,118923,27/06/2020,56.5,349,6,43.5
50-64,44383,27/06/2020,21.1,954,16.4,18.4
65+,30333,27/06/2020,14.4,4506,77.5,15.6
Missing,1058,27/06/2020,0.1,1,0,0
0-17,17157,28/06/2020,7.9,0,0,22.5
18-49,122833,28/06/2020,56.7,350,6,43.5
50-64,45434,28/06/2020,21,964,16.5,18.4
65+,30893,28/06/2020,14.3,4535,77.5,15.6
Missing,233,28/06/2020,0.1,1,0,0
0-17,17739,29/06/2020,8,0,0,22.5
18-49,127082,29/06/2020,57,351,6,43.5
50-64,46486,29/06/2020,20.9,967,16.5,18.4
65+,31379,29/06/2020,14.1,4558,77.6,15.6
Missing,231,29/06/2020,0.1,1,0,0
0-17,18672,30/06/2020,8,0,0,22.5
18-49,133458,30/06/2020,57.4,355,5.9,43.5
50-64,48149,30/06/2020,20.7,985,16.5,18.4
65+,32145,30/06/2020,13.8,4637,77.6,15.6
Missing,233,30/06/2020,0.1,1,0,0
0-17,19328,01/07/2020,8,0,0,22.5
18-49,138340,01/07/2020,57.6,361,6,43.5
50-64,49466,01/07/2020,20.6,1002,16.5,18.4
